id;name;song_id
90681fe7-f7c0-4b50-9eb0-6237ca9d34f2;Cameroon Ouguiya;9de10d0c-01a9-4129-b808-2ad05340fc82
d80065eb-9283-47eb-b74b-1aa72cb5e94f;Nevada;8920d7f3-f5e9-41cd-a9e3-04e5df02b555
246059df-99b3-45f8-8729-86d6cdb76b3e;Chicken definition;a11fc475-f544-4c52-b978-adc096cb9150
c2a42bc2-1570-4522-bf4f-bbb7d777492d;Multi-tiered Cross-group;4004e646-87be-402c-913d-9475fcf4ed0b
edfde599-5509-4861-97b5-689c556480fa;Avon Franc target;fc67d3e8-c274-4a33-9c07-eee042b6a5bd
de0ccb24-96cf-4426-a09d-d0db416f6c63;productize Books open-source;9bdad605-f0d4-4b66-ab77-de0d135e456b
679615f5-1264-426b-a680-75a6f3aa6fb6;matrix bandwidth;4063e9fa-0661-4b11-ad69-3e8253ceeefc
d032190f-f6d6-4b13-8def-ebe3f28fc651;Fresh Synergized;4b04f669-c1d2-4256-80c1-0bf269bf518d
ff9ccab9-ab91-45c5-9bc2-8d8c7a0c5164;Networked;35e6fe70-2fdd-4f3e-95fc-3d05ee490870
47c32b59-567f-4d60-bcd8-b467e71fc075;impactful Handmade;4a24da45-7c24-41f5-a0ba-fb0255e64081
