id;user_id;note
1;9e2ea52b-7240-4616-840b-cdf10d685c04;../fake-data/blob/hipster.txt
2;c74bfa1a-c579-4992-9709-4aefad2af1ae;../fake-data/blob/hipster.txt
3;d16c52e6-63ab-4462-b8bb-b52ce291d3e7;../fake-data/blob/hipster.txt
4;ee7b3ab4-5a91-4189-8b15-cbbf742bd891;../fake-data/blob/hipster.txt
5;0f0bd91f-b1f9-443a-8c77-6b1fc5de8dea;../fake-data/blob/hipster.txt
6;95b9c546-a5d6-4f45-83de-e644c5bb53b0;../fake-data/blob/hipster.txt
7;51b7d2f5-ecd7-4e7d-945f-16fdcd910b1e;../fake-data/blob/hipster.txt
8;ebc17e1d-05c1-4eb4-bde0-e59ba9513ee7;../fake-data/blob/hipster.txt
9;329f4014-bab3-4b2e-8656-f623c7426aaf;../fake-data/blob/hipster.txt
10;ef15c62f-ccac-4ea5-a88d-76ef25a04d94;../fake-data/blob/hipster.txt
